               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.033564,            0.023187,           0.0075088,             0.88651,             0.87312,             0.91246,             0.63907,            0.032108,            0.015064,           0.0086126,            0.007129,            0.007129,            0.007129
                  31,            0.034192,            0.023127,           0.0072481,             0.89733,              0.8712,             0.91853,             0.65496,            0.030686,            0.014748,           0.0090952,             0.00703,             0.00703,             0.00703
                  32,             0.03295,            0.023468,           0.0071693,             0.91822,             0.85838,             0.90375,             0.64543,            0.029384,            0.015173,           0.0086823,            0.006931,            0.006931,            0.006931
                  33,            0.031546,            0.022473,           0.0066652,             0.92762,             0.87356,             0.91537,             0.64847,            0.029443,            0.015462,           0.0091305,            0.006832,            0.006832,            0.006832
                  34,            0.030483,            0.022637,           0.0068285,             0.87353,             0.89106,              0.9153,             0.66392,            0.028932,            0.015168,           0.0084362,            0.006733,            0.006733,            0.006733
                  35,            0.031419,            0.023931,           0.0066367,             0.89529,             0.87215,             0.90975,             0.67018,            0.028827,            0.015356,           0.0086613,            0.006634,            0.006634,            0.006634
                  36,            0.031252,            0.022741,            0.006341,             0.87455,             0.87724,             0.90975,             0.65698,            0.029744,            0.015652,           0.0086908,            0.006535,            0.006535,            0.006535
                  37,            0.030571,            0.022882,           0.0063117,             0.92449,             0.86883,             0.91347,             0.68446,            0.028209,            0.015415,           0.0082979,            0.006436,            0.006436,            0.006436
                  38,            0.029766,             0.02222,           0.0061943,             0.91853,              0.8741,             0.92266,             0.68501,            0.029841,             0.01519,           0.0080528,            0.006337,            0.006337,            0.006337
                  39,            0.030114,            0.022431,            0.006432,             0.90823,             0.89001,              0.9147,             0.65944,             0.02825,            0.014871,           0.0078506,            0.006238,            0.006238,            0.006238
                  40,            0.028974,            0.019884,           0.0058114,             0.90364,             0.89143,             0.91134,             0.67512,            0.029229,            0.015019,           0.0076213,            0.006139,            0.006139,            0.006139
